センター,center
上半身0,J_Bip_C_Spine
上半身,J_Bip_C_Chest
上半身2,J_Bip_C_UpperChest
首,J_Bip_C_Neck
頭,J_Bip_C_Head
左目,J_Adj_L_FaceEye
右目,J_Adj_R_FaceEye
下半身,J_Bip_C_Hips
左肩,J_Bip_L_Shoulder
左腕,J_Bip_L_UpperArm
左ひじ,J_Bip_L_LowerArm
左手首,J_Bip_L_Hand
左親指０,J_Bip_L_Thumb1
左親指１,J_Bip_L_Thumb2
左親指２,J_Bip_L_Thumb3
左人指１,J_Bip_L_Index1
左人指２,J_Bip_L_Index2
左人指３,J_Bip_L_Index3
左中指１,J_Bip_L_Middle1
左中指２,J_Bip_L_Middle2
左中指３,J_Bip_L_Middle3
左薬指１,J_Bip_L_Ring1
左薬指２,J_Bip_L_Ring2
左薬指３,J_Bip_L_Ring3
左小指１,J_Bip_L_Little1
左小指２,J_Bip_L_Little2
左小指３,J_Bip_L_Little3
左足,J_Bip_L_UpperLeg
左ひざ,J_Bip_L_LowerLeg
左足首,J_Bip_L_Foot
左つま先,J_Bip_L_ToeBase
右肩,J_Bip_R_Shoulder
右腕,J_Bip_R_UpperArm
右ひじ,J_Bip_R_LowerArm
右手首,J_Bip_R_Hand
右親指０,J_Bip_R_Thumb1
右親指１,J_Bip_R_Thumb2
右親指２,J_Bip_R_Thumb3
右人指１,J_Bip_R_Index1
右人指２,J_Bip_R_Index2
右人指３,J_Bip_R_Index3
右中指１,J_Bip_R_Middle1
右中指２,J_Bip_R_Middle2
右中指３,J_Bip_R_Middle3
右薬指１,J_Bip_R_Ring1
右薬指２,J_Bip_R_Ring2
右薬指３,J_Bip_R_Ring3
右小指１,J_Bip_R_Little1
右小指２,J_Bip_R_Little2
右小指３,J_Bip_R_Little3
右足,J_Bip_R_UpperLeg
右ひざ,J_Bip_R_LowerLeg
右足首,J_Bip_R_Foot
右つま先,J_Bip_R_ToeBase
下半身先,J_Bip_C_Hips_end
頭先,J_Bip_C_Head_end
右目先,J_Adj_R_FaceEye_end
左目先,J_Adj_L_FaceEye_end
左手先,J_Bip_L_Hand_end
左親指先,J_Bip_L_Thumb3_end
左人差指先,J_Bip_L_Index3_end
左中指先,J_Bip_L_Middle3_end
左薬指先,J_Bip_L_Ring3_end
左小指先,J_Bip_L_Little3_end
右手先,J_Bip_R_Hand_end
右親指先,J_Bip_R_Thumb3_end
右人差指先,J_Bip_R_Index3_end
右中指先,J_Bip_R_Middle3_end
右薬指先,J_Bip_R_Ring3_end
右小指先,J_Bip_R_Little3_end
まじめ,B_serious
怒り,B_angry
びっくり,B_amazed
上,B_up
上右,B_upR
上左,B_upL
下,B_down
下右,B_downR
下左,B_downL
前,B_front
まばたき,F_blink
笑い,F_smile
ウィンクR,F_winkR
ウィンクL,F_winkL
あ,M_a
い,M_i
う,M_u
え,M_e
お,M_o
わ,M_wa
へ,M_edgeDown
ん,M_n
ニヤリ,M_gagNiyari
笑う,M_smile
ペロ,M_pero
口角上げ,M_edgeUp
