左目,目.L
右目,目.R
左肩,肩.L
左腕,腕.L
左ひじ,ひじ.L
左手首,手首.L
左親指０,親指０.L
左親指１,親指１.L
左親指２,親指２.L
左人指１,人指１.L
左人指２,人指２.L
左人指３,人指３.L
左中指１,中指１.L
左中指２,中指２.L
左中指３,中指３.L
左薬指１,薬指１.L
左薬指２,薬指２.L
左薬指３,薬指３.L
左小指１,小指１.L
左小指２,小指２.L
左小指３,小指３.L
左足,足.L
左ひざ,ひざ.L
左足首,足首.L
左つま先,つま先.L
右肩,肩.R
右腕,腕.R
右ひじ,ひじ.R
右手首,手首.R
右親指０,親指０.R
右親指１,親指１.R
右親指２,親指２.R
右人指１,人指１.R
右人指２,人指２.R
右人指３,人指３.R
右中指１,中指１.R
右中指２,中指２.R
右中指３,中指３.R
右薬指１,薬指１.R
右薬指２,薬指２.R
右薬指３,薬指３.R
右小指１,小指１.R
右小指２,小指２.R
右小指３,小指３.R
右足,足.R
右ひざ,ひざ.R
右足首,足首.R
右つま先,つま先.R
右目先,目先.R
左目先,目先.L
左手先,手先.L
左親指先,親指先.L
左人差指先,人差指先.L
左中指先,中指先.L
左薬指先,薬指先.L
左小指先,小指先.L
右手先,手先.R
右親指先,親指先.R
右人差指先,人差指先.R
右中指先,中指先.R
右薬指先,薬指先.R
右小指先,小指先.R
