センター,center
上半身0,J_Bip_C_Spine
上半身,J_Bip_C_Chest
上半身2,J_Bip_C_UpperChest
首,J_Bip_C_Neck
頭,J_Bip_C_Head
目.L,J_Adj_L_FaceEye
目.R,J_Adj_R_FaceEye
下半身,J_Bip_C_Hips
肩.L,J_Bip_L_Shoulder
腕.L,J_Bip_L_UpperArm
ひじ.L,J_Bip_L_LowerArm
手首.L,J_Bip_L_Hand
親指０.L,J_Bip_L_Thumb1
親指１.L,J_Bip_L_Thumb2
親指２.L,J_Bip_L_Thumb3
人指１.L,J_Bip_L_Index1
人指２.L,J_Bip_L_Index2
人指３.L,J_Bip_L_Index3
中指１.L,J_Bip_L_Middle1
中指２.L,J_Bip_L_Middle2
中指３.L,J_Bip_L_Middle3
薬指１.L,J_Bip_L_Ring1
薬指２.L,J_Bip_L_Ring2
薬指３.L,J_Bip_L_Ring3
小指１.L,J_Bip_L_Little1
小指２.L,J_Bip_L_Little2
小指３.L,J_Bip_L_Little3
足.L,J_Bip_L_UpperLeg
ひざ.L,J_Bip_L_LowerLeg
足首.L,J_Bip_L_Foot
つま先.L,J_Bip_L_ToeBase
肩.R,J_Bip_R_Shoulder
腕.R,J_Bip_R_UpperArm
ひじ.R,J_Bip_R_LowerArm
手首.R,J_Bip_R_Hand
親指０.R,J_Bip_R_Thumb1
親指１.R,J_Bip_R_Thumb2
親指２.R,J_Bip_R_Thumb3
人指１.R,J_Bip_R_Index1
人指２.R,J_Bip_R_Index2
人指３.R,J_Bip_R_Index3
中指１.R,J_Bip_R_Middle1
中指２.R,J_Bip_R_Middle2
中指３.R,J_Bip_R_Middle3
薬指１.R,J_Bip_R_Ring1
薬指２.R,J_Bip_R_Ring2
薬指３.R,J_Bip_R_Ring3
小指１.R,J_Bip_R_Little1
小指２.R,J_Bip_R_Little2
小指３.R,J_Bip_R_Little3
足.R,J_Bip_R_UpperLeg
ひざ.R,J_Bip_R_LowerLeg
足首.R,J_Bip_R_Foot
つま先.R,J_Bip_R_ToeBase
下半身先,J_Bip_C_Hips_end
頭先,J_Bip_C_Head_end
目先.R,J_Adj_R_FaceEye_end
目先.L,J_Adj_L_FaceEye_end
手先.L,J_Bip_L_Hand_end
親指先.L,J_Bip_L_Thumb3_end
人差指先.L,J_Bip_L_Index3_end
中指先.L,J_Bip_L_Middle3_end
薬指先.L,J_Bip_L_Ring3_end
小指先.L,J_Bip_L_Little3_end
手先.R,J_Bip_R_Hand_end
親指先.R,J_Bip_R_Thumb3_end
人差指先.R,J_Bip_R_Index3_end
中指先.R,J_Bip_R_Middle3_end
薬指先.R,J_Bip_R_Ring3_end
小指先.R,J_Bip_R_Little3_end
